vendor_id,service_name,feature
arctic_wolf_we_make_security_work,Cybersecurity for State and Local Government,Profit OrganizationsSchool DistrictsHigher EducationCities & CountiesLocal GovernmentState AgenciesHealthcare OrganizationsReligious OrganizationsNon
arctic_wolf_we_make_security_work,Cybersecurity for State and Local Government,Profit OrganizationsTexas State AgenciesCountiesLocal GovernmentPublic Education(Out of State with ICC Agreements)Higher EducationCommunity CollegesK
arctic_wolf_we_make_security_work,Cybersecurity for State and Local Government,Profit OrganizationsState GovernmentsLocal GovernmentsHigher EducationK
arctic_wolf_we_make_security_work,Cybersecurity for State and Local Government,12 EducationNon
arctic_wolf_we_make_security_work,Aurora Endpoint Security,Demand(formerly CylanceMDR On Demand)Aurora ProtectAurora Endpoint DefenseFeaturesOn
arctic_wolf_we_make_security_work,Aurora Endpoint Security,day threat prevention with immediate attack containment30% faster incident investigation and 90% reduction in alert fatigueLight
arctic_wolf_we_make_security_work,Aurora Endpoint Security,DrivenEndpoint SecurityAuroraTMEndpoint Security delivers market
arctic_wolf_we_make_security_work,Aurora Endpoint Security,Day Data RetentionPlaybook AutomationManaged Endpoint SecurityAurora Managed Endpoint DefenseOn
arctic_wolf_we_make_security_work,Aurora Endpoint Security,Proven AIZero
arctic_wolf_we_make_security_work,Aurora Endpoint Security,DemandAurora ProtectAurora Endpoint DefenseFeaturesRequest Help from SOCGuided RemediationOngoing Endpoint Health
arctic_wolf_we_make_security_work,Aurora Endpoint Security,Focused Threat HuntingEndpoint SecurityManaged Endpoint SecurityAurora Protect(formerly CylanceProtect)FeaturesEndpoint Protection PlatformNext
arctic_wolf_we_make_security_work,Aurora Endpoint Security,Focused Threat HuntingOnboardingSecure Your Endpoints Against Modern ThreatsBattle
arctic_wolf_we_make_security_work,Aurora Endpoint Security,"Weight, High"
arctic_wolf_we_make_security_work,Legal Industry Cybersecurity,based assignment of 16 compliance courses covering topics including:PCIHIPAAGDPRTitle IXFERPAAnti
arctic_wolf_we_make_security_work,Legal Industry Cybersecurity,life attacks. Our simulations include immediate and specific learning experiences following a simulated phishing 'click' to remediate the risk.This pre
arctic_wolf_we_make_security_work,Legal Industry Cybersecurity,use phishing simulations based on real
